|Cod a homo|CUPS  |
|541200-1  |541200|
|541500    |541501|
|541504 P  |541502|
|541904 P  |441400|
|542004 P  |501004|
|542100 P1 |542100|
|542100-1 P|542100|
|542100-1P |542100|
|542100P   |542100|
|542100P1  |542100|
|542400-2  |542400|
|547000 P  |547401|
|549002.   |549002|
|549002P   |549002|
|549012P   |549012|
|549900 P  |549001|
|550000 1P2|554100|
|550000 1P3|631010|
|550000 1P4|568941|
|550000-1  |554100|
|550000-1 P|554100|
|550000-12 |554100|
|550000-13 |631010|
|550000-14 |568941|
|550000-1P |631010|
|550000-1P2|554100|
|550000-1P3|631010|
|550000-1P4|568941|
|550103.   |550103|
|550103P   |550103|
|552310.   |552310|
|552310P   |552310|
|554102 P  |554111|
|554102P   |554111|
|554111.   |554111|
|555001 P  |555721|
|555001P   |555721|
|555701 P  |554100|
|555701P   |555721|
|555721.   |555721|
|556200P   |556200|
|556200P1  |556200|
|556200P1M1|556200|
|556200PM1 |556200|
|558701-1  |558701|
|559220-1  |559220|
|559220-2  |559220|
|560100P   |560100|
|560300-1  |560100|
|562002 P  |562221|
|562201 P  |562201|
|563001 P  |563100|
|563002 P  |563100|
|563100 1P1|563100|
|563100-1 P|563100|
|563102 P  |563100|
|563102P   |563100|
|571000 P  |571120|
|571220 P  |571220|
|571221 P  |571220|
|571221P   |571220|
|574201P   |574201|
|576061 P  |576061|
|580050 P  |580050|
|580050-1  |580050|
|589301P   |589301|
|595101P   |595101|
|601101P1  |601101|
|602901P   |602901|
|603100P   |603100|
|605111 P  |577210|
|605111P   |577210|
|605301 P  |605100|
|605301P   |605100|
|61100     |61100 |
|631010 P  |631010|
|631010P   |631010|
|631010P1  |631010|
|637300P   |637300|
|640000P   |640000|
|650000 P  |542100|
|652102P   |652102|
|652902P   |652902|
|663100-1  |663100|
|663100-12 |663100|
|667302 P  |667302|
|667302P   |667302|
|669902 P  |669902|
|681200P   |681200|
|682402P   |682402|
|682404P   |682404|
|683100-1  |683100|
|684000    |684002|
|684000-1  |684000|
|684000P   |684000|
|684002    |226301|
|684020P1  |684020|
|684103 P  |684020|
|684200    |684010|
|684202    |226301|
|686101 P  |686110|
|686101P   |686110|
|687100    |684010|
|689000 P  |754101|
|689000-1  |754101|
|691230 P  |691230|
|712200P   |712200|
|72120     |72120 |
|73530 0.  |735300|
|735300 P2 |750101|
|735300.   |721001|
|735300P   |735300|
|735300P1  |735300|
|735300P2  |750101|
|750101P   |750101|
|751200-1  |751200|
|751201    |751200|
|752100P   |752100|
|753600 P  |753600|
|753600P   |753600|
|756911.   |756911|
|762100 P1 |760102|
|765302P   |765302|
|766203 P  |766202|
|766206 P  |766402|
|766400 P  |766403|
|771000 P  |791201|
|771101 P  |796905|
|771102 P  |783305|
|771200 P  |783308|
