|Cod a homo|CUPS  |
|990104-84 |890205|
|990104-85 |890205|
|990113P   |990113|
|990202-7  |890205|
|990202-8  |890205|
|990202-S  |890205|
|990202P   |890205|
|990202P1  |890205|
|990204-4  |990204|
|990204-41 |990204|
|990300    |990205|
|991000    |S22201|
|991201-2  |991201|
|991201-21 |991201|
|991201-3  |991201|
|991800-S  |991800|
|991800P   |991800|
|991800P1  |991800|
|991801    |991800|
|991801-0  |991800|
|992502-2  |992502|
|992505-1  |992505|
|992505-1 P|992505|
|992505-1P |992505|
|992505-7  |992505|
|992990-7  |992800|
|992990-71 |992800|
|992990-S  |992800|
|992990-S1 |992800|
|992990.   |991800|
|992990P   |992800|
|992990P1  |992800|
|992990P2  |992800|
|994200-3  |310103|
|997101-3  |997101|
|997101-32 |997101|
|997101-33 |997101|
|997102-2  |997102|
|997102-25 |997102|
|997102-31 |997102|
|997102-32 |997102|
|997102-33 |997102|
|997102-34 |997102|
|997102-36 |997102|
|997102-37 |997102|
|997102-38 |997102|
|997103-20 |997103|
|997103-31 |997103|
|997103-33 |997103|
|997103-34 |997103|
|997103-35 |997103|
|997103-36 |997103|
|997103-37 |997103|
|997103-38 |997103|
|997103-39 |997103|
|997105-1  |997105|
|997105-10 |997105|
|997105-11 |997105|
|997105-12 |997105|
|997105-13 |997105|
|997105-14 |997105|
|997105-2  |997105|
|997105-20 |997105|
|997105-21 |997105|
|997105-22 |997105|
|997105-23 |997105|
|997105-24 |997105|
|997105-25 |997105|
|997105-26 |997105|
|997105-3  |997105|
|997105-39 |997105|
|997105-4  |997105|
|997105-41 |997105|
|997105-42 |997105|
|997105-43 |997105|
|997105-44 |997105|
|997105-45 |997105|
|997105-46 |997105|
|997300-1  |997300|
|997300-10 |997300|
|997300-2  |997300|
|997300-21 |997300|
|997300-3  |997300|
|997300-33 |997300|
|997300-34 |997300|
|998302-3  |998302|
|C00017    |380110|
|C00020 P  |457300|
|C40111    |399501|
|C40111-   |399501|
|C40111.   |399501|
|C40402.   |512104|
|C40460..  |815101|
|C40461.   |815401|
|C40466.   |791401|
|C4053 5.  |740100|
|C40535    |740100|
|C40535P   |740100|
|C40535P1  |740100|
|C40535P2  |740100|
|C40554    |876231|
|C40554P   |876212|
|C40558P   |360201|
|C40560    |360101|
|C40560.   |360101|
|C40560P   |360101|
|C40562P   |350100|
|C40568    |876121|
|C40568.   |876120|
|C40568P   |876120|
|C40583    |410400|
|C40583P   |410100|
|C40584    |410200|
|C40584P   |410200|
|C40585    |556100|
|C40585-S  |890402|
|C40585P   |890402|
|C40587-S  |556200|
|C40587P   |556200|
|C40588..  |556200|
|C40589.   |556200|
|C40590    |890302|
|C40592    |890302|
|C40592P   |890202|
|C40594    |504000|
|C40594-S  |504000|
|C40594-S3 |890253|
|C40594P   |890202|
|C40594P1  |504000|
|C40595    |504000|
|C40595P   |504000|
|C40596.   |505100|
|C40598-S  |505100|
|C40598.   |890302|
|C40598P1  |505100|
|C40701    |874133|
|C40701.   |874133|
|C40701P   |874133|
|C40702P   |877121|
|C40703    |878211|
|C40703.   |878111|
|C40703P   |878111|
|C40704P   |877141|
|C40705    |876131|
|C40705P   |876131|
|C40706    |395080|
|C40708    |395081|
|C40820    |876121|
|C40820P   |876121|
|CNOPAG    |890202|
|CNOPAPRE  |890202|
|CONTNOPA  |890202|
|E09321    |578502|
|E301302.  |301302|
|E324201.  |324200|
|E345301.  |345300|
|E375101   |890202|
|E375101.  |375100|
|E375201.  |375100|
|E399705.  |389104|
|E505105   |890202|
|E505105.  |890202|
|E528205   |528200|
|E528205.  |526200|
|E849602.  |842401|
|E849603.  |849501|
|E867106.  |867106|
|E880002.  |879601|
|E890188.  |890302|
|E893912.  |954302|
|M02732    |103201|
|M05210    |405400|
|M07124    |541400|
|M07142    |541400|
|M07143    |541301|
|M07761    |468001|
|M15215    |865209|
|S11301-E1 |S11301|
|S11301-E2 |S11301|
|S11301-E3 |S11301|
|S11301-E4 |S11301|
|S11301-E5 |S11301|
|S11301-E6 |S11301|
|S11301-E7 |S11301|
|S11301-E8 |S11301|
|S11301-E9 |S11301|
|S11301-EX |S11301|
|S11301-H  |S11301|
|S11302-E1 |S11302|
|S11302-E3 |S11302|
|S12102-E1 |S12102|
|S12103-E1 |S12103|
|S12103-E2 |S12103|
|S12201-E1 |S12201|
|S12202-E1 |S12202|
|S22102-2  |S22102|
|S22221-2  |S22221|
|S23300-1  |S23300|
|S23300-11 |S23300|
|S23300-12 |S23300|
|S23300-13 |S23300|
|S31301-1  |S33201|
|S31301-5  |S33201|
|S41501    |890402|
|S41501-8  |890606|
|S41602    |890202|
-------------------
